Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net
[0mHTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/body.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/index.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/carusel.js
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/posters/pterodactil.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/header.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/footer.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/reviews.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/background.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_0292.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_9234.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/header/logo.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/header/tg.svg.png
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/header/vk.svg.png
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_0292.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_9234.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/favicon.ico
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/header.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/footer.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/reviews.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_0292.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_9234.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news1.jpg
HTTP request from 149.154.161.231 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/header.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/footer.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/text/reviews.json
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_0292.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/video/IMG_9234.MOV
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news2.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news3.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/data/pics/news1.jpg
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/contacts.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/parts/map.js
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/contacts.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/src/artists.html
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/body.css
HTTP request from 5.18.225.17 to https://896040f4ec21b66cd44a1cbc769afeb4.serveo.net/css/artists.css
